tag;ponto;descricao;modulo;canal;nivel1;nivel2;nivel3;grandeza
ST_WI_PW001;128;Saida do Circuito 001;T7;7;Gerador;Agua Pura;;Temperatura
ST_WI_PW002;129;Saida do Circuito 002;T7;8;Gerador;Agua Pura;;Temperatura
ST_WI_PW003;130;Saida do Circuito 003;T7;9;Gerador;Agua Pura;;Temperatura
ST_WI_PW004;131;Saida do Circuito 004;T7;10;Gerador;Agua Pura;;Temperatura
ST_WI_PW005;132;Saida do Circuito 005;T7;11;Gerador;Agua Pura;;Temperatura
ST_WI_PW006;133;Saida do Circuito 006;T7;12;Gerador;Agua Pura;;Temperatura
ST_WI_PW007;134;Saida do Circuito 007;T7;13;Gerador;Agua Pura;;Temperatura
ST_WI_PW008;135;Saida do Circuito 008;T7;14;Gerador;Agua Pura;;Temperatura
ST_WI_PW009;136;Saida do Circuito 009;T7;15;Gerador;Agua Pura;;Temperatura
ST_WI_PW010;137;Saida do Circuito 010;T7;16;Gerador;Agua Pura;;Temperatura
ST_WI_PW011;138;Saida do Circuito 011;T7;17;Gerador;Agua Pura;;Temperatura
ST_WI_PW012;139;Saida do Circuito 012;T7;18;Gerador;Agua Pura;;Temperatura
ST_WI_PW013;140;Saida do Circuito 013;T7;19;Gerador;Agua Pura;;Temperatura
ST_WI_PW014;141;Saida do Circuito 014;T8;0;Gerador;Agua Pura;;Temperatura
ST_WI_PW015;142;Saida do Circuito 015;T8;1;Gerador;Agua Pura;;Temperatura
ST_WI_PW016;143;Saida do Circuito 016;T8;2;Gerador;Agua Pura;;Temperatura
ST_WI_PW017;144;Saida do Circuito 017;T8;3;Gerador;Agua Pura;;Temperatura
ST_WI_PW018;145;Saida do Circuito 018;T8;4;Gerador;Agua Pura;;Temperatura
ST_WI_PW019;146;Saida do Circuito 019;T8;5;Gerador;Agua Pura;;Temperatura
ST_WI_PW020;147;Saida do Circuito 020;T8;6;Gerador;Agua Pura;;Temperatura
ST_WI_PW021;148;Saida do Circuito 021;T8;7;Gerador;Agua Pura;;Temperatura
ST_WI_PW022;149;Saida do Circuito 022;T8;8;Gerador;Agua Pura;;Temperatura
ST_WI_PW023;150;Saida do Circuito 023;T8;9;Gerador;Agua Pura;;Temperatura
ST_WI_PW024;151;Saida do Circuito 024;T8;10;Gerador;Agua Pura;;Temperatura
ST_WI_PW025;152;Saida do Circuito 025;T8;11;Gerador;Agua Pura;;Temperatura
ST_WI_PW026;153;Saida do Circuito 026;T8;12;Gerador;Agua Pura;;Temperatura
ST_WI_PW027;154;Saida do Circuito 027;T8;13;Gerador;Agua Pura;;Temperatura
ST_WI_PW028;155;Saida do Circuito 028;T8;14;Gerador;Agua Pura;;Temperatura
ST_WI_PW029;156;Saida do Circuito 029;T8;15;Gerador;Agua Pura;;Temperatura
ST_WI_PW030;157;Saida do Circuito 030;T8;16;Gerador;Agua Pura;;Temperatura
ST_WI_PW031;158;Saida do Circuito 031;T8;17;Gerador;Agua Pura;;Temperatura
ST_WI_PW032;159;Saida do Circuito 032;T8;18;Gerador;Agua Pura;;Temperatura
ST_WI_PW033;160;Saida do Circuito 033;T8;19;Gerador;Agua Pura;;Temperatura
ST_WI_PW034;161;Saida do Circuito 034;T9;0;Gerador;Agua Pura;;Temperatura
ST_WI_PW035;162;Saida do Circuito 035;T9;1;Gerador;Agua Pura;;Temperatura
ST_WI_PW036;163;Saida do Circuito 036;T9;2;Gerador;Agua Pura;;Temperatura
ST_WI_PW037;164;Saida do Circuito 037;T9;3;Gerador;Agua Pura;;Temperatura
ST_WI_PW038;165;Saida do Circuito 038;T9;4;Gerador;Agua Pura;;Temperatura
ST_WI_PW039;166;Saida do Circuito 039;T9;5;Gerador;Agua Pura;;Temperatura
ST_WI_PW040;167;Saida do Circuito 040;T9;6;Gerador;Agua Pura;;Temperatura
ST_WI_PW041;168;Saida do Circuito 041;T9;7;Gerador;Agua Pura;;Temperatura
ST_WI_PW042;169;Saida do Circuito 042;T9;8;Gerador;Agua Pura;;Temperatura
ST_WI_PW043;170;Saida do Circuito 043;T9;9;Gerador;Agua Pura;;Temperatura
ST_WI_PW044;171;Saida do Circuito 044;T9;10;Gerador;Agua Pura;;Temperatura
ST_WI_PW045;172;Saida do Circuito 045;T9;11;Gerador;Agua Pura;;Temperatura
ST_WI_PW046;173;Saida do Circuito 046;T9;12;Gerador;Agua Pura;;Temperatura
ST_WI_PW047;174;Saida do Circuito 047;T9;13;Gerador;Agua Pura;;Temperatura
ST_WI_PW048;175;Saida do Circuito 048;T9;14;Gerador;Agua Pura;;Temperatura
ST_WI_PW049;176;Saida do Circuito 049;T9;15;Gerador;Agua Pura;;Temperatura
ST_WI_PW050;177;Saida do Circuito 050;T9;16;Gerador;Agua Pura;;Temperatura
ST_WI_PW051;178;Saida do Circuito 051;T9;17;Gerador;Agua Pura;;Temperatura
ST_WI_PW052;179;Saida do Circuito 052;T9;18;Gerador;Agua Pura;;Temperatura
